device,tick_ms,sequence,valid,block_index,sample_index,left,right,sample_count,min,max,peak_abs,mean_abs,frame_id,radar_type,frame_len,data_len,driver_drop,msg_drop,frame_hex,radar_decoded
mic,49348,70,1,6,97,360,401,,,,,,,,,,24571,21805,,
mic,49348,70,1,6,98,372,379,,,,,,,,,,24573,21805,,
mic,49348,70,1,6,99,385,384,,,,,,,,,,24575,21805,,
mic,49348,70,1,6,100,386,386,,,,,,,,,,24578,21805,,
mic,49348,70,1,6,101,373,352,,,,,,,,,,24580,21805,,
mic,49348,70,1,6,102,367,376,,,,,,,,,,24582,21805,,
mic,49348,70,1,6,103,363,349,,,,,,,,,,24585,21805,,
mic,49348,70,1,6,104,376,345,,,,,,,,,,24587,21805,,
mic,49348,70,1,6,105,368,363,,,,,,,,,,24589,21805,,
mic,49348,70,1,6,106,384,363,,,,,,,,,,24592,21805,,
mic,49348,70,1,6,107,353,395,,,,,,,,,,24594,21805,,
mic,49348,70,1,6,108,346,334,,,,,,,,,,24596,21805,,
mic,49348,70,1,6,109,311,340,,,,,,,,,,24598,21805,,
mic,49348,70,1,6,110,289,314,,,,,,,,,,24601,21805,,
mic,49348,70,1,6,111,319,268,,,,,,,,,,24603,21805,,
mic,49348,70,1,6,112,272,302,,,,,,,,,,24605,21805,,
mic,49348,70,1,6,113,263,222,,,,,,,,,,24608,21805,,
mic,49348,70,1,6,114,303,317,,,,,,,,,,24610,21805,,
mic,49348,70,1,6,115,266,253,,,,,,,,,,24612,21805,,
mic,49348,70,1,6,116,294,287,,,,,,,,,,24615,21805,,
mic,49348,70,1,6,117,316,294,,,,,,,,,,24617,21805,,
mic,49348,70,1,6,118,308,317,,,,,,,,,,24619,21805,,
mic,49348,70,1,6,119,367,337,,,,,,,,,,24621,21805,,
mic,49348,70,1,6,120,331,341,,,,,,,,,,24624,21805,,
mic,49348,70,1,6,121,328,342,,,,,,,,,,24626,21805,,
mic,49348,70,1,6,122,341,326,,,,,,,,,,24628,21805,,
mic,49348,70,1,6,123,316,325,,,,,,,,,,24631,21805,,
mic,49348,70,1,6,124,324,324,,,,,,,,,,24633,21805,,
mic,49348,70,1,6,125,322,309,,,,,,,,,,24635,21805,,
mic,49348,70,1,6,126,310,315,,,,,,,,,,24638,21805,,
mic,49348,70,1,6,127,302,312,,,,,,,,,,24640,21805,,
mic,49348,70,1,6,128,295,272,,,,,,,,,,24642,21805,,
mic,49348,70,1,6,129,302,292,,,,,,,,,,24645,21805,,
mic,49348,70,1,6,130,304,316,,,,,,,,,,24647,21805,,
mic,49348,70,1,6,131,303,307,,,,,,,,,,24649,21805,,
mic,49348,70,1,6,132,296,297,,,,,,,,,,24651,21805,,
mic,49348,70,1,6,133,299,287,,,,,,,,,,24654,21805,,
mic,49348,70,1,6,134,309,283,,,,,,,,,,24656,21805,,
mic,49348,70,1,6,135,328,346,,,,,,,,,,24658,21805,,
mic,49348,70,1,6,136,304,313,,,,,,,,,,24661,21805,,
mic,49348,70,1,6,137,335,319,,,,,,,,,,24663,21805,,
mic,49348,70,1,6,138,280,318,,,,,,,,,,24665,21805,,
mic,49348,70,1,6,139,276,286,,,,,,,,,,24668,21805,,
mic,49348,70,1,6,140,320,291,,,,,,,,,,24670,21805,,
mic,49348,70,1,6,141,271,294,,,,,,,,,,24672,21805,,
mic,49348,70,1,6,142,304,263,,,,,,,,,,24675,21805,,
mic,49348,70,1,6,143,312,298,,,,,,,,,,24677,21805,,
mic,49348,70,1,6,144,362,325,,,,,,,,,,24679,21805,,
mic,49348,70,1,6,145,305,308,,,,,,,,,,24681,21805,,
mic,49348,70,1,6,146,340,338,,,,,,,,,,24684,21805,,
mic,49348,70,1,6,147,301,310,,,,,,,,,,24686,21805,,
mic,49348,70,1,6,148,280,283,,,,,,,,,,24688,21805,,
mic,49348,70,1,6,149,273,265,,,,,,,,,,24691,21805,,
mic,49348,70,1,6,150,215,208,,,,,,,,,,24693,21805,,
mic,49348,70,1,6,151,281,233,,,,,,,,,,24695,21805,,
mic,49348,70,1,6,152,242,230,,,,,,,,,,24698,21805,,
mic,49348,70,1,6,153,217,228,,,,,,,,,,24700,21805,,
mic,49348,70,1,6,154,229,201,,,,,,,,,,24702,21805,,
mic,49348,70,1,6,155,196,202,,,,,,,,,,24704,21805,,
mic,49348,70,1,6,156,158,210,,,,,,,,,,24707,21805,,
mic,49348,70,1,6,157,198,160,,,,,,,,,,24709,21805,,
mic,49348,70,1,6,158,177,196,,,,,,,,,,24711,21805,,
mic,49348,70,1,6,159,167,176,,,,,,,,,,24714,21805,,
mic,50080,71,1,7,0,473,397,,,,,,,,,,24716,22165,,
mic,50080,71,1,7,1,640,344,,,,,,,,,,24717,22165,,
mic,50080,71,1,7,2,406,254,,,,,,,,,,24720,22165,,
mic,50080,71,1,7,3,469,367,,,,,,,,,,24722,22165,,
mic,50080,71,1,7,4,342,253,,,,,,,,,,24724,22165,,
mic,50080,71,1,7,5,353,146,,,,,,,,,,24726,22165,,
mic,50080,71,1,7,6,462,68,,,,,,,,,,24728,22165,,
mic,50080,71,1,7,7,232,206,,,,,,,,,,24731,22165,,
mic,50080,71,1,7,8,-37,-6,,,,,,,,,,24733,22165,,
mic,50080,71,1,7,9,-141,-65,,,,,,,,,,24735,22165,,
mic,50080,71,1,7,10,-426,-289,,,,,,,,,,24737,22165,,
